"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Lancaster,"62,479","66,366","70,474",14,6.2,6.2,86,VA
Lee,"31,270","34,950","38,300",104,11.8,9.6,19,VA
Loudoun,"82,681","85,568","90,254",5,3.5,5.5,94,VA
Louisa,"44,759","47,474","50,089",57,6.1,5.5,92,VA
Lunenburg,"33,635","36,859","40,149",96,9.6,8.9,29,VA
Madison,"48,543","51,692","55,148",42,6.5,6.7,70,VA
Mathews,"59,904","62,724","66,906",18,4.7,6.7,71,VA
Mecklenburg,"37,981","41,430","46,019",75,9.1,11.1,7,VA
Middlesex,"53,640","56,167","59,146",31,4.7,5.3,97,VA
Nelson,"54,067","58,929","63,085",22,9.0,7.1,62,VA
New Kent,"82,110","85,427","90,086",6,4.0,5.5,95,VA
Northampton,"54,353","59,199","63,928",21,8.9,8.0,44,VA
Northumberland,"57,424","60,588","63,005",23,5.5,4.0,105,VA
Nottoway,"34,437","37,229","42,851",90,8.1,15.1,1,VA
Orange,"52,574","55,369","57,849",35,5.3,4.5,104,VA
Page,"39,449","42,618","47,157",70,8.0,10.7,10,VA
Patrick,"33,781","36,637","39,564",99,8.5,8.0,43,VA
Powhatan,"61,060","63,724","67,031",17,4.4,5.2,98,VA
Prince Edward,"33,504","36,074","38,883",102,7.7,7.8,51,VA
Pulaski,"39,965","43,597","47,174",69,9.1,8.2,38,VA
Rappahannock,"69,525","72,056","76,181",9,3.6,5.7,89,VA
Richmond,"38,119","42,137","44,749",79,10.5,6.2,85,VA
Russell,"34,512","37,141","40,061",97,7.6,7.9,46,VA
Scott,"33,546","36,009","39,583",98,7.3,9.9,14,VA
Shenandoah,"46,388","49,839","53,753",46,7.4,7.9,47,VA
Smyth,"37,421","40,617","44,740",80,8.5,10.2,12,VA
Stafford,"56,078","58,744","62,954",25,4.8,7.2,58,VA
Surry,"43,176","46,775","51,892",49,8.3,10.9,8,VA
Sussex,"32,146","35,242","39,243",101,9.6,11.4,4,VA
Tazewell,"37,901","40,339","43,786",85,6.4,8.5,34,VA
Warren,"47,404","50,644","54,290",43,6.8,7.2,57,VA
Westmoreland,"44,800","47,863","50,190",56,6.8,4.9,101,VA
Wythe,"36,422","39,930","43,593",87,9.6,9.2,23,VA
Independent cities:,,,,,,,,VA
Alexandria,"88,972","93,108","100,017",3,4.6,7.4,55,VA
Chesapeake,"49,752","53,130","56,742",38,6.8,6.8,67,VA
Hampton,"41,827","45,516","49,233",60,8.8,8.2,40,VA
Newport News,"40,133","44,072","47,448",64,9.8,7.7,54,VA
Norfolk,"40,294","43,062","46,923",72,6.9,9.0,28,VA
Portsmouth,"39,585","43,752","47,944",62,10.5,9.6,20,VA
Richmond,"58,813","63,989","68,048",16,8.8,6.3,83,VA
Roanoke,"42,079","46,550","50,599",53,10.6,8.7,32,VA
Suffolk,"51,911","55,246","59,309",30,6.4,7.4,56,VA
Virginia Beach,"56,876","60,069","63,942",20,5.6,6.4,77,VA
Combination areas3:,,,,,,,,VA
Albemarle + Charlottesville,"77,844","80,244","85,867",7,3.1,7.0,64,VA
Alleghany + Covington,"39,399","42,138","45,094",76,7.0,7.0,63,VA
"Augusta, Staunton + Waynesboro","45,236","48,204","51,965",48,6.6,7.8,49,VA
Campbell + Lynchburg,"38,359","41,882","44,577",81,9.2,6.4,78,VA
Carroll + Galax,"36,398","39,746","43,247",89,9.2,8.8,30,VA
"Dinwiddie, Colonial Heights + Petersburg","39,136","43,262","47,335",66,10.5,9.4,22,VA
"Fairfax, Fairfax City + Falls Church","86,629","89,397","94,677",4,3.2,5.9,87,VA
Frederick + Winchester,"52,423","55,430","59,016",32,5.7,6.5,75,VA
Greensville + Emporia,"31,511","35,151","39,397",100,11.6,12.1,2,VA
Henry + Martinsville,"38,848","42,712","46,758",73,9.9,9.5,21,VA
James City + Williamsburg,"65,115","68,579","71,981",13,5.3,5.0,100,VA
Montgomery + Radford,"38,352","40,315","43,778",86,5.1,8.6,33,VA
Pittsylvania + Danville,"37,471","41,198","44,894",78,9.9,9.0,27,VA
Prince George + Hopewell,"36,295","39,184","42,377",92,8.0,8.1,41,VA
"Prince William, Manassas + Manassas Park","55,638","59,000","62,810",26,6.0,6.5,76,VA
Roanoke + Salem,"51,237","54,059","57,434",37,5.5,6.2,84,VA
"Rockbridge, Buena Vista + Lexington","41,494","43,860","46,700",74,5.7,6.5,74,VA
Rockingham + Harrisonburg,"40,770","43,425","47,217",68,6.5,8.7,31,VA
Southampton + Franklin,"42,470","46,036","49,843",58,8.4,8.3,36,VA
Spotsylvania + Fredericksburg,"52,502","55,800","59,414",29,6.3,6.5,73,VA
Washington + Bristol,"40,673","43,591","47,310",67,7.2,8.5,35,VA
Wise + Norton,"34,142","37,172","40,768",94,8.9,9.7,17,VA
York + Poquoson,"59,960","62,547","66,561",19,4.3,6.4,79,VA
,,,,,,,,
Washington,"64,189","68,350","73,775",--,6.5,7.9,--,WA
Adams,"40,526","45,040","47,867",33,11.1,6.3,25,WA
Asotin,"48,040","51,453","55,564",17,7.1,8.0,14,WA
Benton,"48,522","51,895","54,958",18,7.0,5.9,29,WA
Chelan,"54,288","59,082","62,792",9,8.8,6.3,24,WA
Clallam,"48,024","51,690","54,894",19,7.6,6.2,26,WA
Clark,"55,543","58,629","63,427",8,5.6,8.2,11,WA
Columbia,"57,520","65,425","70,579",3,13.7,7.9,16,WA
Cowlitz,"46,108","49,882","54,550",20,8.2,9.4,1,WA
Douglas,"41,616","45,899","49,290",31,10.3,7.4,19,WA
Ferry,"38,465","44,164","46,847",36,14.8,6.1,27,WA
Franklin,"39,324","42,756","45,937",39,8.7,7.4,18,WA
Garfield,"50,341","56,479","56,792",15,12.2,0.6,39,WA
Grant,"40,839","46,331","48,845",32,13.4,5.4,32,WA
Grays Harbor,"40,717","44,125","47,094",35,8.4,6.7,21,WA
Island,"56,646","60,419","65,188",6,6.7,7.9,15,WA
Jefferson,"54,524","57,847","60,365",12,6.1,4.4,36,WA
King,"95,083","99,734","108,212",1,4.9,8.5,7,WA
Kitsap,"58,290","62,308","67,845",5,6.9,8.9,4,WA
Kittitas,"47,000","50,624","52,846",23,7.7,4.4,35,WA
Klickitat,"49,847","53,026","55,602",16,6.4,4.9,34,WA
Lewis,"44,310","48,320","52,517",24,9.0,8.7,5,WA
Lincoln,"45,756","50,879","51,578",28,11.2,1.4,38,WA
Mason,"45,120","48,488","52,410",25,7.5,8.1,12,WA
Okanogan,"42,429","47,732","50,517",30,12.5,5.8,31,WA
Pacific,"41,078","43,968","46,597",37,7.0,6.0,28,WA
Pend Oreille,"44,448","48,116","51,623",27,8.3,7.3,20,WA
Pierce,"52,389","56,467","61,580",10,7.8,9.1,3,WA
San Juan,"81,070","84,496","87,038",2,4.2,3.0,37,WA
Skagit,"54,843","58,996","64,093",7,7.6,8.6,6,WA
Skamania,"50,414","54,042","58,554",13,7.2,8.3,9,WA
Snohomish,"58,706","63,477","68,858",4,8.1,8.5,8,WA
Spokane,"46,117","49,634","53,770",22,7.6,8.3,10,WA
Stevens,"40,255","43,570","47,613",34,8.2,9.3,2,WA
Thurston,"52,297","56,527","61,062",11,8.1,8.0,13,WA
Wahkiakum,"45,523","48,982","52,239",26,7.6,6.6,22,WA
Walla Walla,"46,483","50,520","53,845",21,8.7,6.6,23,WA
Whatcom,"51,683","54,927","58,137",14,6.3,5.8,30,WA
Whitman,"40,744","44,226","46,502",38,8.5,5.1,33,WA
Yakima,"43,208","47,315","50,872",29,9.5,7.5,17,WA
,,,,,,,,
West Virginia,"42,951","45,240","48,488",--,5.3,7.2,--,WV
Barbour,"35,788","38,258","40,576",44,6.9,6.1,48,WV
Berkeley,"44,030","46,686","49,759",15,6.0,6.6,40,WV
Boone,"35,464","38,831","41,910",37,9.5,7.9,22,WV
Braxton,"36,234","39,143","41,547",38,8.0,6.1,45,WV
Brooke,"43,210","46,858","50,271",10,8.4,7.3,30,WV
Cabell,"43,680","46,506","49,866",13,6.5,7.2,32,WV
Calhoun,"35,162","38,841","41,444",39,10.5,6.7,39,WV
Clay,"33,901","36,743","39,788",48,8.4,8.3,16,WV
Doddridge,"33,526","35,077","37,685",49,4.6,7.4,27,WV
Fayette,"38,436","40,745","44,136",29,6.0,8.3,15,WV
Gilmer,"31,784","33,344","35,405",52,4.9,6.2,44,WV
Grant,"39,374","42,713","45,643",25,8.5,6.9,38,WV
Greenbrier,"41,459","44,179","47,283",22,6.6,7.0,35,WV
Hampshire,"38,321","40,634","43,618",31,6.0,7.3,29,WV
Hancock,"43,244","46,145","49,823",14,6.7,8.0,21,WV
Hardy,"34,343","36,312","40,562",45,5.7,11.7,1,WV
Harrison,"51,627","53,339","57,205",3,3.3,7.2,31,WV
Jackson,"40,190","42,681","45,681",24,6.2,7.0,34,WV
Jefferson,"53,184","55,879","59,214",2,5.1,6.0,49,WV
Kanawha,"49,159","52,256","55,897",4,6.3,7.0,37,WV
Lewis,"40,035","40,991","43,341",33,2.4,5.7,52,WV
Lincoln,"31,954","34,704","37,139",51,8.6,7.0,36,WV
Logan,"37,531","40,353","43,764",30,7.5,8.5,11,WV
McDowell,"28,919","31,221","34,141",55,8.0,9.4,4,WV
Marion,"43,460","45,569","48,343",17,4.9,6.1,46,WV
Marshall,"42,578","43,761","47,456",20,2.8,8.4,12,WV
Mason,"36,236","39,138","42,126",35,8.0,7.6,25,WV
Mercer,"38,251","41,102","44,564",28,7.5,8.4,14,WV
Mineral,"42,607","45,398","48,155",18,6.6,6.1,47,WV
Mingo,"33,117","34,489","37,396",50,4.1,8.4,13,WV
Monongalia,"48,091","49,890","52,576",6,3.7,5.4,54,WV
Monroe,"35,289","38,094","41,207",40,7.9,8.2,17,WV
Morgan,"38,901","41,709","44,779",27,7.2,7.4,28,WV
Nicholas,"35,542","38,165","40,915",42,7.4,7.2,33,WV
Ohio,"59,962","57,177","61,486",1,-4.6,7.5,26,WV
Pendleton,"42,191","45,054","50,144",12,6.8,11.3,2,WV
Pleasants,"43,634","45,123","49,077",16,3.4,8.8,7,WV
Pocahontas,"42,925","47,166","50,236",11,9.9,6.5,41,WV
Preston,"37,367","39,956","42,091",36,6.9,5.3,55,WV
Putnam,"48,218","50,355","53,536",5,4.4,6.3,43,WV
Raleigh,"42,917","43,888","47,265",23,2.3,7.7,24,WV
Randolph,"39,581","42,982","45,453",26,8.6,5.7,51,WV
Ritchie,"45,010","48,184","52,040",9,7.1,8.0,19,WV
Roane,"34,699","37,521","39,963",47,8.1,6.5,42,WV
Summers,"36,895","39,250","42,796",34,6.4,9.0,5,WV
Taylor,"42,680","43,876","47,328",21,2.8,7.9,23,WV
Tucker,"44,161","48,388","52,251",8,9.6,8.0,20,WV
Tyler,"42,765","43,944","47,802",19,2.8,8.8,6,WV
Upshur,"36,416","38,085","40,187",46,4.6,5.5,53,WV
Wayne,"35,735","37,986","41,080",41,6.3,8.1,18,WV
Webster,"29,405","32,667","34,564",54,11.1,5.8,50,WV
Wetzel,"38,292","39,949","43,357",32,4.3,8.5,9,WV
Wirt,"35,094","37,662","40,858",43,7.3,8.5,10,WV
Wood,"46,670","48,212","52,329",7,3.3,8.5,8,WV
Wyoming,"29,637","31,806","34,881",53,7.3,9.7,3,WV
,,,,,,,,
Wisconsin,"52,893","55,941","59,626",--,5.8,6.6,--,WI
Adams,"41,638","44,057","46,002",71,5.8,4.4,68,WI
Ashland,"40,816","43,493","46,418",68,6.6,6.7,19,WI
Barron,"50,289","53,375","56,898",21,6.1,6.6,24,WI
Bayfield,"48,197","50,826","53,902",31,5.5,6.1,36,WI
Brown,"53,415","56,305","59,279",11,5.4,5.3,59,WI
Buffalo,"45,734","49,202","53,031",39,7.6,7.8,7,WI
Burnett,"43,464","46,226","49,108",63,6.4,6.2,33,WI
Calumet,"51,380","54,031","57,182",19,5.2,5.8,44,WI
Chippewa,"46,990","50,185","53,415",35,6.8,6.4,29,WI
Clark,"43,073","47,575","50,128",54,10.5,5.4,57,WI
Columbia,"52,934","56,566","60,708",8,6.9,7.3,10,WI
Crawford,"43,205","46,612","49,273",61,7.9,5.7,46,WI
Dane,"63,668","66,677","71,062",3,4.7,6.6,26,WI
Dodge,"45,199","47,937","51,287",48,6.1,7.0,16,WI
Door,"61,746","64,481","68,172",4,4.4,5.7,45,WI
Douglas,"44,172","46,003","49,872",55,4.1,8.4,5,WI
Dunn,"41,558","44,970","47,673",66,8.2,6.0,38,WI
Eau Claire,"49,605","52,528","55,693",27,5.9,6.0,37,WI
Florence,"59,645","58,794","64,600",6,-1.4,9.9,1,WI
Fond du Lac,"49,996","53,124","56,378",23,6.3,6.1,35,WI
Forest,"41,617","44,154","46,139",69,6.1,4.5,67,WI
Grant,"44,992","48,773","51,761",46,8.4,6.1,34,WI
Green,"52,723","56,263","60,240",10,6.7,7.1,15,WI
Green Lake,"44,772","47,046","49,311",60,5.1,4.8,63,WI
Iowa,"50,155","53,878","57,445",18,7.4,6.6,21,WI
Iron,"47,623","50,558","52,673",42,6.2,4.2,69,WI
Jackson,"44,994","48,041","49,697",59,6.8,3.4,72,WI
Jefferson,"47,726","50,624","53,863",32,6.1,6.4,30,WI
Juneau,"40,189","42,982","46,040",70,6.9,7.1,14,WI
Kenosha,"49,153","52,452","57,085",20,6.7,8.8,3,WI
Kewaunee,"48,091","52,271","54,422",30,8.7,4.1,71,WI
La Crosse,"51,477","54,603","58,301",14,6.1,6.8,18,WI
Lafayette,"43,860","48,962","52,194",44,11.6,6.6,23,WI
Langlade,"44,264","48,118","51,008",51,8.7,6.0,39,WI
Lincoln,"45,879","49,098","51,407",47,7.0,4.7,64,WI
Manitowoc,"47,097","50,242","53,085",38,6.7,5.7,48,WI
Marathon,"52,045","55,055","58,096",16,5.8,5.5,52,WI
Marinette,"45,231","47,829","51,265",49,5.7,7.2,13,WI
Marquette,"43,032","45,977","47,885",65,6.8,4.1,70,WI
Menominee,"36,500","39,554","43,212",72,8.4,9.2,2,WI
Milwaukee,"48,239","51,567","55,927",25,6.9,8.5,4,WI
Monroe,"42,543","46,451","49,000",64,9.2,5.5,54,WI
Oconto,"47,656","50,519","53,114",37,6.0,5.1,61,WI
Oneida,"50,147","53,044","55,861",26,5.8,5.3,58,WI
Outagamie,"52,828","55,492","58,622",12,5.0,5.6,49,WI
Ozaukee,"85,018","87,897","92,719",1,3.4,5.5,55,WI
Pepin,"49,977","54,569","57,620",17,9.2,5.6,51,WI
Pierce,"48,704","51,123","54,429",29,5.0,6.5,28,WI
Polk,"47,004","49,919","52,885",40,6.2,5.9,40,WI
Portage,"47,721","50,872","53,435",34,6.6,5.0,62,WI
Price,"45,085","48,014","51,148",50,6.5,6.5,27,WI
Racine,"50,274","53,005","56,884",22,5.4,7.3,11,WI
Richland,"44,285","48,132","50,749",52,8.7,5.4,56,WI
Rock,"45,883","49,129","52,787",41,7.1,7.4,9,WI
Rusk,"44,793","48,208","51,844",45,7.6,7.5,8,WI
St. Croix,"57,706","59,997","63,800",7,4.0,6.3,31,WI
Sauk,"52,788","56,206","60,631",9,6.5,7.9,6,WI
Sawyer,"45,047","47,325","50,445",53,5.1,6.6,25,WI
Shawano,"44,022","47,291","49,746",57,7.4,5.2,60,WI
Sheboygan,"52,696","55,282","58,425",13,4.9,5.7,47,WI
Taylor,"42,940","47,580","49,783",56,10.8,4.6,65,WI
Trempealeau,"43,745","46,772","49,712",58,6.9,6.3,32,WI
Vernon,"42,487","45,812","49,116",62,7.8,7.2,12,WI
Vilas,"53,083","53,617","56,041",24,1.0,4.5,66,WI
Walworth,"51,483","54,477","58,208",15,5.8,6.8,17,WI
Washburn,"47,441","50,819","53,835",33,7.1,5.9,41,WI
Washington,"59,788","62,434","66,103",5,4.4,5.9,42,WI
Waukesha,"74,733","77,667","82,032",2,3.9,5.6,50,WI
Waupaca,"46,452","49,358","52,622",43,6.3,6.6,22,WI
Waushara,"41,912","44,479","46,929",67,6.1,5.5,53,WI
Winnebago,"49,145","51,751","55,202",28,5.3,6.7,20,WI
Wood,"47,395","50,185","53,122",36,5.9,5.9,43,WI
,,,,,,,,
Wyoming,"64,117","65,782","69,666",--,2.6,5.9,--,WY
Albany,"42,955","46,056","48,528",21,7.2,5.4,7,WY
Big Horn,"40,898","45,433","47,259",22,11.1,4.0,18,WY
Campbell,"53,876","54,040","56,008",14,0.3,3.6,20,WY
Carbon,"58,619","62,318","64,804",7,6.3,4.0,19,WY
Converse,"69,603","68,246","69,583",4,-1.9,2.0,23,WY
Crook,"48,636","49,756","51,825",17,2.3,4.2,17,WY
Fremont,"46,798","49,268","51,452",18,5.3,4.4,13,WY
Goshen,"45,141","47,900","50,633",19,6.1,5.7,5,WY
Hot Springs,"61,472","75,185","78,817",2,22.3,4.8,10,WY
Johnson,"56,585","58,260","61,294",10,3.0,5.2,9,WY
Laramie,"53,181","54,959","58,646",12,3.3,6.7,3,WY
Lincoln,"49,329","54,847","61,945",9,11.2,12.9,1,WY
Natrona,"69,791","67,229","70,175",3,-3.7,4.4,14,WY
Niobrara,"45,633","50,469","53,797",15,10.6,6.6,4,WY
Park,"60,645","62,495","65,944",5,3.1,5.5,6,WY
Platte,"51,705","51,050","53,368",16,-1.3,4.5,11,WY
Sheridan,"59,932","61,749","64,449",8,3.0,4.4,15,WY
Sublette,"61,618","62,780","65,620",6,1.9,4.5,12,WY
Sweetwater,"56,619","55,188","56,934",13,-2.5,3.2,22,WY
Teton,"278,682","290,674","318,297",1,4.3,9.5,2,WY
Uinta,"41,297","42,704","44,157",23,3.4,3.4,21,WY
Washakie,"51,388","57,228","60,235",11,11.4,5.3,8,WY
Weston,"46,281","47,499","49,526",20,2.6,4.3,16,WY
(NA) Not available,,,,,,,,
"1. Per capita personal income was computed using Census Bureau midyear population estimates for 2020 and 2021, released in March 2022. For 2019, BEA produced intercensal population figures that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita personal income statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data.",,,,,,,,
"2. On January 2, 2019, two new county equivalents were created from the former Valdez-Cordova Census Area, Alaska (02261): Chugach Census Area (02063) and Copper River Census Area (02066). Estimates for 2020 forward reflect these changes.",,,,,,,,
"3. Virginia combination areas consist of one or two independent cities with populations of less than 100,000 combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination areas are not available.",,,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,,
